file,recovery,drop
088b59d5-d011-47ca-8738-f46683596220,"[[2364.380556, 3478.374722]]",[]
09bc865d-589e-4fcc-9b7e-4ac674a390dd,"[[2244.878056, 2316.39]]","[[2339.045278, 2368.378056], [11919.838056, 11944.439167]]"
13850102-9e0e-4e3a-842c-00b993d62045,[],"[[2545.133611, 3185.026944]]"
15ed4c6f-686e-4b60-97ea-ed55a1f00ce9,"[[3276.948889, 3479.1]]","[[0.146389, 133.109444], [3479.261944, 3834.418611]]"
164abd51-13d5-4a6f-9841-46d82937e377,"[[5670.660278, 5934.772778], [19905.750833, 19975.138056], [20456.296389, 20507.644722]]","[[1933.136389, 2290.383333], [5935.205, 6343.962778], [19975.475, 20264.556389], [20546.001944, 21382.427778]]"
17859c48-3b19-48d6-a79b-793390e70803,[],"[[0.016667, 627.55]]"
1896a0c8-8130-472e-ba6f-9dcfed363dce,"[[710.036944, 1978.630556]]","[[1979.133611, 2942.706389], [5011.942222, 7104.7875]]"
1c0e8d10-ba4a-499f-8159-bde6dc70b1c8,[],"[[0.01, 1091.605]]"
1c9db047-e335-46ac-8039-effd8589b25b,"[[313.253056, 340.902222], [2353.615556, 2365.348056]]","[[341.111389, 826.536111], [2384.407778, 2820.535833]]"
1cbce6e5-9f0b-419f-9527-7add4e255217,"[[3176.403333, 3617.040833]]","[[3622.979444, 3728.636389], [7493.832222, 7944.692778]]"
21159492-d8fd-4f36-b482-6e5dccdf11a6,[],"[[3606.576111, 3666.221944]]"
2c0617b6-c11e-4c96-bd35-1efd2d5a7730,[],"[[3495.834444, 3697.765833], [5179.573056, 5235.103056]]"
30a70201-c4ce-459a-b392-62daaeafd97d,"[[424.916667, 471.5], [1529.166667, 1581.25]]","[[115.75, 416.916667], [474.166667, 805.416667], [1581.333333, 1599.166667]]"
31210932-757a-44c9-ad24-e4d44bb7344b,"[[2413.451111, 3427.560833]]","[[3514.600556, 3553.018889], [8141.406389, 8417.605833]]"
3da1f16c-3e38-457e-8c5c-a5653f5d7a1d,"[[2903.031667, 5014.358611], [9817.575278, 10285.291389]]","[[10285.855556, 11954.87]]"
4222e5c2-7a87-409d-b55f-75db4c482f00,"[[2335.443889, 3390.295556]]",[]
42a6cefb-1e17-4c8f-b5dd-5cc5d9fe0526,"[[2433.148611, 2770.175278], [3049.793889, 3443.581111]]","[[2844.958611, 3004.356944], [3444.712778, 3977.327222]]"
4383de67-ff8a-4822-a2ef-133c24b3631c,"[[2358.026389, 3457.989722]]","[[3498.024167, 3955.051667]]"
46c4657d-5d3d-4282-87a8-0c9c053e598e,"[[178.190833, 616.595833]]","[[730.044167, 1062.675278]]"
4b144e52-3d8f-4c8b-82a0-a1e9725794a9,"[[1782.195556, 2759.375]]","[[2848.615, 2897.738333]]"
4e8d1307-8689-45c8-b7ab-69c63f00ff55,"[[12032.252778, 12343.034722]]","[[3538.4725, 3639.896111], [10765.7525, 11808.887778], [12392.793056, 12728.422222]]"
4f6cb554-2580-432b-9060-76102d07fdb9,"[[1334.927222, 1532.802778]]","[[1533.059722, 1789.394722]]"
5795fed1-df25-48e6-91cc-b374bbbee1aa,[],"[[0.008333, 74.0975], [195.895, 265.011667], [3893.503889, 3911.749722], [3922.82, 4088.5825], [4379.336389, 4591.250556]]"
5dbc4812-135e-4e6b-9a14-e2cde50489f5,"[[16855.086111, 16965.101944]]","[[3738.176389, 3831.388889], [17000.299722, 17102.14]]"
6067f320-345a-442a-b546-660103093ca1,"[[1704.366944, 1748.298889]]","[[1858.211667, 1907.943056]]"
627507d6-b21b-4a3e-9118-768d2ee3d81e,"[[2278.808333, 2596.171389], [3162.629167, 3420.3275]]",[]
62ace5dd-525c-4a7a-9463-080e8abef19d,"[[6250.0, 6392.016667]]","[[6596.016667, 6800.016667]]"
63cd28dc-ded4-4aca-8f10-09d76be673d1,"[[2360.09, 3479.872222]]","[[3517.968056, 3710.828889]]"
6951f347-3d7a-42fd-8668-d24c6853c23a,"[[2336.421389, 3346.593611]]",[]
69e7e0fa-734a-465a-8de3-829b9b3dee7a,"[[11720.29, 12193.010833]]",[]
